,Data,Godzina,ZAP
642,20160127,19,23445.5
643,20160127,20,23091.688
644,20160127,21,22477.0
645,20160127,22,21112.838
646,20160127,23,19528.838
647,20160127,24,18125.488
648,20160128,1,17076.388
649,20160128,2,16394.825
650,20160128,3,15935.025
651,20160128,4,15935.588
652,20160128,5,16219.55
653,20160128,6,16978.588
654,20160128,7,19441.738
655,20160128,8,21012.55
656,20160128,9,21922.475
657,20160128,10,22278.55
658,20160128,11,22266.263
659,20160128,12,22519.638
660,20160128,13,22692.65
661,20160128,14,22870.125
662,20160128,15,22483.475
663,20160128,16,22088.338
664,20160128,17,22488.688
665,20160128,18,23506.987999999998
666,20160128,19,23255.237999999998
667,20160128,20,23172.7
668,20160128,21,22361.463
669,20160128,22,20964.05
670,20160128,23,19439.088
671,20160128,24,18097.2
672,20160129,1,17090.65
673,20160129,2,16465.163
674,20160129,3,16120.225
675,20160129,4,16150.413
676,20160129,5,16439.725
677,20160129,6,17173.838
678,20160129,7,19592.1
679,20160129,8,21263.638
680,20160129,9,21984.175
681,20160129,10,22570.537999999997
682,20160129,11,22627.4
683,20160129,12,22683.138
684,20160129,13,22523.213
685,20160129,14,22543.575
686,20160129,15,22073.013
687,20160129,16,21908.813
688,20160129,17,22441.938
689,20160129,18,23472.438
690,20160129,19,23091.95
691,20160129,20,22759.275
692,20160129,21,22054.362999999998
693,20160129,22,20530.288
694,20160129,23,19074.913
695,20160129,24,17843.738
696,20160130,1,16717.525
697,20160130,2,16109.15
698,20160130,3,15750.938
699,20160130,4,15714.25
700,20160130,5,15687.8
701,20160130,6,15783.963
702,20160130,7,16650.588
703,20160130,8,17406.263
704,20160130,9,18576.8
705,20160130,10,19410.713
706,20160130,11,19819.938000000002
707,20160130,12,19984.438000000002
708,20160130,13,19790.238
709,20160130,14,19635.875
710,20160130,15,19053.888
711,20160130,16,18797.763
712,20160130,17,19463.675
713,20160130,18,20477.65
714,20160130,19,20305.788
715,20160130,20,19918.15
716,20160130,21,19238.125
717,20160130,22,18111.25
718,20160130,23,17042.1
719,20160130,24,15871.838
720,20160131,1,14857.075
721,20160131,2,14271.8
722,20160131,3,13950.313
723,20160131,4,13832.85
724,20160131,5,13847.0
725,20160131,6,14000.425
726,20160131,7,14466.025
727,20160131,8,14644.938
728,20160131,9,15431.525
729,20160131,10,16398.813000000002
730,20160131,11,17049.6
731,20160131,12,17302.913
732,20160131,13,17490.088
733,20160131,14,17541.513
734,20160131,15,17181.188000000002
735,20160131,16,16826.938000000002
736,20160131,17,17358.95
737,20160131,18,18775.925
738,20160131,19,19028.625
739,20160131,20,19068.938000000002
740,20160131,21,18595.113
741,20160131,22,17587.588
742,20160131,23,16682.575
743,20160131,24,15645.5
744,20160201,1,14964.013
745,20160201,2,14482.95
746,20160201,3,14380.613000000001
747,20160201,4,14496.975
748,20160201,5,14852.925
749,20160201,6,15817.0
750,20160201,7,18740.325
751,20160201,8,20695.863
752,20160201,9,21931.925
753,20160201,10,22546.713
754,20160201,11,22487.162999999997
755,20160201,12,22682.138
